"Plot Title: EASY04927_CO_Flow_Temp"
"#","Date Time, GMT-05:00","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: EZF CO wkg)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: EZF CO aux)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: Flow)","Volt, V (LGR S/N: 10883702, SEN S/N: 10883702, LBL: CO HIgh)","Host Connected (LGR S/N: 10883702)","Stopped (LGR S/N: 10883702)","End Of File (LGR S/N: 10883702)"
1,11/14/24 01:00:00 PM,0.40383,0.30369,1.84337,0.40394,,,
2,11/14/24 01:00:01 PM,0.40116,0.30205,1.73610,0.40064,,,
3,11/14/24 01:00:02 PM,0.40326,0.29934,1.74308,0.40357,,,
4,11/14/24 01:00:03 PM,0.40291,0.30343,1.69459,0.40613,,,
5,11/14/24 01:00:04 PM,0.40291,0.30262,1.62161,0.40504,,,
6,11/14/24 01:00:05 PM,0.40066,0.29931,1.56985,0.40320,,,
7,11/14/24 01:00:06 PM,0.40345,0.30049,1.38247,0.40394,,,
8,11/14/24 01:00:07 PM,0.40230,0.30137,1.39330,0.40394,,,
9,11/14/24 01:00:08 PM,0.40318,0.30259,1.44102,0.40284,,,
10,11/14/24 01:00:09 PM,0.39929,0.30392,1.39094,0.40357,,,
11,11/14/24 01:00:10 PM,0.40105,0.30083,1.45682,0.40540,,,
12,11/14/24 01:00:11 PM,0.40097,0.30175,1.44259,0.40284,,,
13,11/14/24 01:00:12 PM,0.40265,0.30331,1.78347,0.40430,,,
14,11/14/24 01:00:13 PM,0.40249,0.30056,2.02277,0.40504,,,
15,11/14/24 01:00:14 PM,0.40261,0.30133,2.02884,0.40540,,,
16,11/14/24 01:00:15 PM,0.40135,0.30205,1.97578,0.40467,,,
17,11/14/24 01:00:16 PM,0.39971,0.30610,1.81743,0.40430,,,
18,11/14/24 01:00:17 PM,0.40230,0.30373,1.56291,0.40467,,,
19,11/14/24 01:00:18 PM,0.40192,0.30205,1.34905,0.40467,,,
20,11/14/24 01:00:19 PM,0.40307,0.30148,1.52293,0.40613,,,
21,11/14/24 01:00:20 PM,0.40337,0.29946,1.84592,0.40504,,,
22,11/14/24 01:00:21 PM,0.40337,0.30175,2.02258,0.40577,,,
23,11/14/24 01:00:22 PM,0.40116,0.30117,2.00069,0.40540,,,
24,11/14/24 01:00:23 PM,0.40280,0.30304,1.71530,0.40540,,,
25,11/14/24 01:00:24 PM,0.40166,0.30022,1.37888,0.40540,,,
26,11/14/24 01:00:25 PM,0.40196,0.30220,1.58801,0.40320,,,
27,11/14/24 01:00:26 PM,0.40249,0.30156,1.99168,0.40247,,,
28,11/14/24 01:00:27 PM,0.40364,0.30179,2.02369,0.40357,,,
