Garage_name,Date,Start_Time,End_Time ,Level
Trilogy,12/6/24,11:14 AM,11:19 AM,0
Trilogy,12/6/24,11:20 AM,11:25 AM,3
Trilogy,12/6/24,11:25 AM,11:30 AM,2
Trilogy,12/6/24,11:31 AM,11:36 AM,1
Trilogy,12/6/24,11:37 AM,11:42 AM,0
401 Park Garage,12/6/24,11:42 AM,11:47 AM,0
401 Park Garage,12/6/24,11:51 AM,11:56 AM,1
401 Park Garage,12/6/24,11:57 AM,12:02 PM,0
City Place Garage ,11/14/24,5:06 PM,5:11 PM,0
City Place Garage ,11/14/24,5:15 PM,5:20 PM,2
City Place Garage ,11/14/24,5:20 PM,5:25 PM,1
City Place Garage ,11/14/24,5:27 PM,5:32 PM,0
Boston Common Garage ,11/14/24,5:46 PM,5:46 PM,0
Boston Common Garage ,11/14/24,6:04 PM,6:09 PM,1
Boston Common Garage ,11/14/24,5:58 PM,6:03 PM,2
Boston Common Garage ,11/14/24,5:52 PM,5:57 PM,3
Boston Common Garage ,11/14/24,6:10 PM,6:15 PM,0
Prudential Center Garage,11/19/24,3:55 PM,4:00 PM,0
Prudential Center Garage,11/19/24,4:03 PM,4:08 PM,3
Prudential Center Garage,11/19/24,4:10 PM,4:15 PM,2
Prudential Center Garage,11/19/24,4:16 PM,4:21 PM,1
Back Bay Garage,11/19/24,5:09 PM,5:15 PM,0
Back Bay Garage,11/19/24,5:16 PM,5:21 PM,3
Back Bay Garage,11/19/24,5:22 PM,5:27 PM,2
Back Bay Garage,11/19/24,5:28 PM,5:32 PM,1
Back Bay Garage,11/19/24,5:34 PM,5:39 PM,0
Boylston st garage,11/21/24,5:03 PM,5:08 PM,2
Boylston st garage,11/21/24,5:09 PM,5:14 PM,1
Boylston st garage,11/21/24,5:20 PM,5:25 PM,3
Boylston st garage,11/21/24,5:26 PM,5:31 PM,0
88 Kingston St garage,11/21/24,5:54 PM,5:59 PM,3
88 Kingston St garage,11/21/24,6:00 PM,6:05 PM,2
88 Kingston St garage,11/21/24,6:06 PM,6:11 PM,1
88 Kingston St garage,11/21/24,6:13 PM,6:18 PM,0
